Date,Open,High,Low,Close,Volume
2025-05-15,35.959999084472656,38.04999923706055,34.45000076293945,37.40999984741211,17537900
2025-05-16,38.529998779296875,39.900001525878906,36.150001525878906,37.720001220703125,18870200
2025-05-19,35.529998779296875,39.83000183105469,34.880001068115234,39.72999954223633,19004400
2025-05-20,41.33000183105469,41.33000183105469,36.849998474121094,37.56999969482422,16339800
2025-05-21,37.0,39.38999938964844,35.685001373291016,36.810001373291016,15484900
2025-05-22,36.810001373291016,40.43000030517578,35.849998474121094,39.720001220703125,19220400
2025-05-23,44.65999984741211,52.16999816894531,43.630001068115234,48.869998931884766,92503100
2025-05-27,49.52000045776367,54.47999954223633,46.119998931884766,53.900001525878906,45495500
2025-05-28,53.4900016784668,57.56999969482422,53.349998474121094,55.2400016784668,34572000
2025-05-29,55.724998474121094,56.0,51.72999954223633,52.93000030517578,21202500
2025-05-30,49.40999984741211,54.36000061035156,49.40999984741211,52.720001220703125,23478000
2025-06-02,50.71500015258789,53.58000183105469,50.2400016784668,52.439998626708984,15037100
2025-06-03,56.0,58.689998626708984,49.33000183105469,49.77000045776367,31354900
2025-06-04,49.42499923706055,51.18000030517578,45.04999923706055,49.09000015258789,19199000
2025-06-05,48.279998779296875,49.849998474121094,46.0099983215332,47.15999984741211,13211700
2025-06-06,47.099998474121094,50.54999923706055,46.400001525878906,50.290000915527344,13254600
2025-06-09,51.70000076293945,54.7400016784668,48.7599983215332,54.2599983215332,15735200
2025-06-10,54.279998779296875,56.5,50.790000915527344,52.540000915527344,14780200
2025-06-11,53.560001373291016,68.91000366210938,53.36000061035156,68.02999877929688,55913500
2025-06-12,63.61000061035156,71.0,62.880001068115234,64.4800033569336,38026500
2025-06-13,61.95000076293945,65.5999984741211,60.599998474121094,63.65999984741211,31769000
2025-06-16,67.0,73.55000305175781,64.8010025024414,65.44999694824219,29283400
2025-06-17,68.26000213623047,69.4000015258789,61.790000915527344,62.77000045776367,24789600
2025-06-18,63.26499938964844,63.959999084472656,59.619998931884766,62.02000045776367,14650000
2025-06-20,63.0,63.95000076293945,57.529998779296875,57.95000076293945,15026100
2025-06-23,57.38999938964844,58.70000076293945,52.119998931884766,55.11000061035156,19045000
2025-06-24,57.83000183105469,61.45000076293945,57.20500183105469,60.709999084472656,18003700
2025-06-25,63.099998474121094,64.77999877929688,55.3489990234375,55.56999969482422,17089000
2025-06-26,57.25,57.75,55.40999984741211,55.849998474121094,9984600
2025-06-27,59.54999923706055,62.099998474121094,54.04999923706055,55.2599983215332,45939900
2025-06-30,56.349998474121094,57.303001403808594,53.79999923706055,55.9900016784668,13456700
2025-07-01,54.900001525878906,55.25,51.529998779296875,51.7400016784668,13224900
2025-07-02,51.58000183105469,52.189998626708984,50.08000183105469,51.33000183105469,10018000
2025-07-03,52.75,54.29999923706055,51.2400016784668,53.720001220703125,8869200
2025-07-07,53.8650016784668,56.33000183105469,51.880001068115234,55.939998626708984,11928600
2025-07-08,57.314998626708984,57.59000015258789,53.25,53.52000045776367,15042300
2025-07-09,53.9900016784668,55.400001525878906,51.52000045776367,53.93000030517578,10649900
2025-07-10,53.650001525878906,56.41999816894531,52.880001068115234,55.45000076293945,11426300
2025-07-11,54.33000183105469,57.650001525878906,53.90999984741211,56.08000183105469,15100700
